file,mode,size,has_alpha,transparent_pct,border_opaque_pct,opaque_bbox,verdict
source/expressions/yanna_face_01_sweet_smile.png,RGBA,246x246,True,40.93,16.9,"(28, 4, 207, 246)",OK
source/expressions/yanna_face_02_wave_hello_excited.png,RGBA,247x246,True,37.51,14.5,"(13, 3, 237, 246)",OK
source/expressions/yanna_face_03_laughing.png,RGBA,247x246,True,41.99,15.3,"(28, 3, 209, 246)",OK
source/expressions/yanna_face_04_wink_tongue_peace.png,RGBA,247x246,True,40.15,13.7,"(29, 3, 232, 246)",OK
source/expressions/yanna_face_05_blow_kiss.png,RGBA,247x246,True,42.09,16.1,"(31, 4, 203, 246)",OK
source/expressions/yanna_face_06_shocked_hands_cheeks.png,RGBA,246x247,True,41.1,16.5,"(32, 3, 206, 247)",OK
source/expressions/yanna_face_07_surprised_gasp.png,RGBA,247x247,True,42.08,16.1,"(35, 5, 207, 247)",OK
source/expressions/yanna_face_08_thinking_chin.png,RGBA,247x247,True,43.17,15.3,"(32, 5, 199, 247)",OK
source/expressions/yanna_face_09_side_eye_sus.png,RGBA,247x247,True,41.97,15.7,"(29, 3, 197, 247)",OK
source/expressions/yanna_face_10_annoyed_crossed.png,RGBA,247x247,True,40.65,16.1,"(32, 3, 223, 247)",OK
source/expressions/yanna_face_11_sad_pout.png,RGBA,246x247,True,40.71,16.1,"(31, 4, 206, 247)",OK
source/expressions/yanna_face_12_crying.png,RGBA,247x247,True,40.85,17.3,"(28, 5, 203, 247)",OK
source/expressions/yanna_face_13_yawning_tired.png,RGBA,247x247,True,41.35,14.9,"(25, 5, 199, 247)",OK
source/expressions/yanna_face_14_bored_chin_rest.png,RGBA,247x247,True,41.97,16.5,"(27, 8, 204, 247)",OK
source/expressions/yanna_face_15_shh_secret.png,RGBA,247x247,True,42.94,16.1,"(32, 4, 201, 247)",OK
source/expressions/yanna_face_16_flirty_heart.png,RGBA,246x247,True,38.18,16.1,"(29, 2, 230, 247)",OK
source/expressions/yanna_face_17_dreamy_smile.png,RGBA,247x247,True,40.88,17.7,"(30, 7, 209, 247)",OK
source/expressions/yanna_face_18_blushing_shy.png,RGBA,247x247,True,39.9,17.3,"(28, 4, 205, 247)",OK
source/expressions/yanna_face_19_flex_strong.png,RGBA,247x247,True,35.33,14.5,"(14, 2, 232, 247)",OK
source/expressions/yanna_face_20_heart_eyes.png,RGBA,247x247,True,40.67,16.1,"(28, 3, 202, 247)",OK
source/expressions/yanna_face_21_rock_on_tongue.png,RGBA,246x247,True,40.69,16.5,"(26, 3, 204, 247)",OK
source/expressions/yanna_face_22_unbothered_crossed.png,RGBA,247x247,True,42.72,14.9,"(28, 4, 198, 247)",OK
source/expressions/yanna_face_23_quiet_shh.png,RGBA,247x247,True,44.38,15.7,"(28, 6, 196, 247)",OK
source/expressions/yanna_face_24_peace_smirk.png,RGBA,247x247,True,37.36,16.5,"(11, 4, 226, 247)",OK
source/expressions/yanna_face_25_double_peace_joy.png,RGBA,247x247,True,38.63,16.1,"(26, 2, 219, 247)",OK
source/mouths/yanna_mouth_01_A1_open_wide.png,RGBA,246x246,True,22.86,23.8,"(7, 7, 245, 246)",OK
source/mouths/yanna_mouth_02_A2_open_smile.png,RGBA,247x246,True,8.19,24.2,"(6, 7, 245, 246)",OK
source/mouths/yanna_mouth_03_A3_open_talk.png,RGBA,247x246,True,8.12,24.2,"(4, 7, 243, 246)",OK
source/mouths/yanna_mouth_04_A4_open_soft.png,RGBA,247x246,True,8.11,23.4,"(2, 7, 241, 246)",OK
source/mouths/yanna_mouth_05_A5_open_laugh.png,RGBA,247x246,True,44.43,21.4,"(0, 8, 239, 246)",OK
source/mouths/yanna_mouth_06_E1_grin_teeth.png,RGBA,246x247,True,33.11,21.8,"(8, 0, 245, 247)",OK
source/mouths/yanna_mouth_07_E2_grin_squint.png,RGBA,247x247,True,7.16,25.4,"(6, 0, 245, 247)",OK
source/mouths/yanna_mouth_08_E3_grin_bright.png,RGBA,247x247,True,7.5,26.2,"(4, 0, 243, 247)",OK
source/mouths/yanna_mouth_09_E4_grin_sassy.png,RGBA,247x247,True,9.38,26.2,"(2, 0, 241, 247)",OK
source/mouths/yanna_mouth_10_E5_grin_wide.png,RGBA,247x247,True,43.3,19.0,"(0, 10, 238, 247)",OK
source/mouths/yanna_mouth_11_I1_teeth_tight.png,RGBA,246x247,True,44.5,29.8,"(21, 0, 209, 247)",OK
source/mouths/yanna_mouth_12_I2_teeth_smirk.png,RGBA,247x247,True,7.29,39.1,"(6, 0, 245, 247)",OK
